Adenanthera pavonina; Red Sandalwood; Height: 18m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: moist.; Coral Tree; Food forest; 10
Adenostoma fasciculatum; Greasewood; Height: 3m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Adenostoma sparsifolium; Redshank; Height: 6m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Aegle marmelos; Bael Tree; Height: 10m, growing slowly. Hardiness: 10-12. Light: full sun. Water preference: moist.; Golden Apple, Bengal Quince; Food forest; 10
Aesculus californica; Californian Buckeye; Height: 12m, growing at a medium rate. Hardiness: 6-10. Light: full sun. Water preference: dry - moist.; California Horsechestnut; Food forest; 6
Aesculus chinensis; Chinese Horse Chestnut; Height: 25m, growing slowly. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 5
Aesculus flava; Sweet Buckeye; Height: 20m, growing at a medium rate. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; Yellow buckeye; Food forest; 4
Aesculus glabra; Ohio Buckeye; Height: 20m, growing at a medium rate. Hardiness: 4-7. Light: semi-shade or full sun. Water preference: moist.; Fetid Buckeye; uncategorised; 4
Aesculus hippocastanum; Horse Chestnut; Height: 30m, growing fast. Hardiness: 4-7. Light: semi-shade or full sun. Water preference: dry - moist.; European Horsechestnut, Common Horsechestnut; Food forest; 4
Aesculus indica; Indian Horse Chestnut; Height: 30m. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 6
Aesculus parviflora; Bottlebrush buckeye; Height: 4m, growing slowly. Hardiness: 4-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 4
Aesculus pavia; Red Buckeye; Height: 5m, growing fast. Hardiness: 5-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Aesculus spp; Horse chestnut; Height: 30m, growing fast. Hardiness: 4-9. Light: semi-shade or full sun. Water preference: dry - moist.; ; Food forest; 4
