treeId;latinName;latitude;longitude;datePlanted;notes;Origin;Rootstock;Variety
82;Juglans nigra;45.10571794;1.92762303;1570375370664;local tree;Argentat;Rootstock;Variety
83;Juglans nigra;45.10567279;1.92763286;1570375414009;local tree;Argentat;Rootstock;Variety
84;Juglans nigra;45.1056806;1.92760075;1570375479233;local tree;Argentat;Rootstock;Variety
85;Juglans nigra;45.10567652;1.92761793;1570375522340;local tree;Argentat;Rootstock;Variety
86;Juglans nigra;45.10566427;1.92753678;1570375565955;local tree;Argentat;Rootstock;Variety
87;Juglans nigra;45.10563158;1.92759624;1570375598315;local tree;Argentat;Rootstock;Variety
88;Juglans nigra;45.10564607;1.92766855;1570375650502;local tree;Argentat;Rootstock;Variety
89;Juglans nigra;45.10566411;1.92762284;1570375684588;local tree;Argentat;Rootstock;Variety
90;Juglans nigra;45.10566295;1.92760578;1570375718524;local tree;Argentat;Rootstock;Variety
91;Juglans nigra;45.10566358;1.92762573;1570375749333;local tree;Argentat;Rootstock;Variety
92;Juglans nigra;45.10565629;1.92770239;1570375797426;local tree;Argentat;Rootstock;Variety
93;Juglans nigra;45.10565536;1.92766799;1570375843911;local tree;Argentat;Rootstock;Variety
94;Juglans nigra;45.10566384;1.92766381;1570375873553;local tree;Argentat;Rootstock;Variety
95;Juglans nigra;45.10563885;1.9276664;1570375914049;local tree;Argentat;Rootstock;Variety
96;Juglans nigra;45.10563962;1.92769905;1570375955125;local tree;Argentat;Rootstock;Variety
97;Juglans nigra;45.10564002;1.92768457;1570375988547;local tree;Argentat;Rootstock;Variety
98;Juglans nigra;45.10564522;1.9276573;1570376027918;local tree;Argentat;Rootstock;Variety
99;Juglans nigra;45.10564845;1.92762781;1570376078372;local tree;Argentat;Rootstock;Variety
100;Juglans nigra;45.10562554;1.92769432;1570376184343;local tree;Argentat;Rootstock;Variety
101;Juglans nigra;45.10561822;1.92769433;1570376227592;local tree;Argentat;Rootstock;Variety
102;Juglans nigra;45.10564673;1.92764875;1570376269181;local tree;Argentat;Rootstock;Variety
103;Juglans nigra;45.10504624;1.92789949;1570376670536;local tree;Argentat;Rootstock;Variety
104;Juglans regia;45.10503958;1.92789514;1570376681019;local tree;Argentat;Rootstock;Variety
